LAD20CD,DateRange,Low_Weight_Births
S12000028,2012,1.96
S12000028,2013,1.73
S12000028,2014,1.55
S12000028,2015,1.36
S12000028,2016,1.66
S12000028,2017,1.91
S12000029,2000,2.5
S12000029,2001,2.37
S12000029,2002,2.38
S12000029,2003,2.2
S12000029,2004,2.28
S12000029,2005,2.35
S12000029,2006,2.13
S12000029,2007,1.91
S12000029,2008,1.9
S12000029,2009,1.86
S12000029,2010,1.86
S12000029,2011,1.83
S12000029,2012,1.82
S12000029,2013,1.87
S12000029,2014,1.73
S12000029,2015,1.83
S12000029,2016,1.83
S12000029,2017,1.96
S12000030,2000,1.73
S12000030,2001,1.57
S12000030,2002,1.43
S12000030,2003,1.72
S12000030,2004,2
S12000030,2005,1.99
S12000030,2006,1.98
S12000030,2007,2.02
S12000030,2008,1.95
S12000030,2009,1.97
S12000030,2010,1.74
S12000030,2011,1.82
S12000030,2012,1.78
S12000030,2013,1.66
S12000030,2014,1.66
S12000030,2015,1.27
S12000030,2016,1.51
S12000030,2017,1.28
S12000033,2000,2.35
S12000033,2001,2.24
S12000033,2002,2.44
S12000033,2003,2.47
S12000033,2004,2.77
S12000033,2005,2.48
S12000033,2006,2.43
S12000033,2007,2.23
S12000033,2008,2.29
S12000033,2009,2.32
S12000033,2010,2.05
S12000033,2011,2.01
S12000033,2012,1.72
S12000033,2013,1.85
S12000033,2014,1.75
S12000033,2015,1.72
S12000033,2016,1.58
S12000033,2017,1.69
S12000034,2000,1.84
S12000034,2001,1.83
S12000034,2002,2.08
S12000034,2003,1.83
S12000034,2004,1.79
S12000034,2005,1.65
S12000034,2006,1.56
S12000034,2007,1.5
S12000034,2008,1.19
