Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S01002084,S01002084,70,61.54,31.25,10,5.26,5.88,7.69,7.14,29.17,24.14,21.21,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002085,S01002085,36.36,33.33,28.57,11.11,0,0,0,33.33,31.82,24.14,12.9,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002086,S01002086,47.37,45,25,5,0,0,5.88,9.09,25,25,21.62,9.68,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002087,S01002087,37.5,31.58,15.79,5.56,0,0,0,15.38,41.67,36.59,26.83,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002088,S01002088,51.72,64,30,20.83,7.41,3.7,0,4.55,13.64,21.05,14.29,5.26,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002089,S01002089,25.93,24.24,6.67,3.57,4.17,10,7.69,13.89,23.33,36.84,19.05,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002090,S01002090,59.26,46.88,32.35,3.57,0,0,0,15.79,27.27,40,18.75,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002091,S01002091,66.67,66.67,11.11,6.25,0,6.25,8.33,41.67,40,22.22,15.79,4.76,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002092,S01002092,50,48.28,24.24,4.55,0,0,0,0,11.11,12.5,10.53,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002093,S01002093,61.54,50,7.69,0,0,14.29,10,30.77,33.33,28,11.76,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002094,S01002094,47.37,60,23.08,5.88,5.26,4.76,0,9.09,18.18,16.67,8.7,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002095,S01002095,61.54,66.67,33.33,21.43,0,0,0,15.79,31.58,40,25,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002096,S01002096,27.59,30.77,4.55,0,3.7,3.7,3.03,3.23,12.5,19.05,15,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002097,S01002097,50,45.45,6.25,0,0,0,0,7.69,15.38,16.67,10,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002098,S01002098,50,45.45,15,5.56,0,7.69,9.09,18.18,20,15.38,7.69,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002099,S01002099,48.57,54.84,25,7.14,0,0,0,16.22,26.83,30.56,13.51,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002100,S01002100,59.09,55,30,4.35,3.85,0,0,5.26,12.5,15.38,9.09,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002101,S01002101,50,53.13,30.3,12.5,3.03,3.03,5.56,25.71,45,41.46,21.74,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002102,S01002102,59.09,52,26.32,6.67,0,0,0,13.64,23.08,17.14,10,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002103,S01002103,36.84,43.75,30,0,0,0,0,5.88,11.76,10.53,14.29,7.69,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002104,S01002104,55.56,51.72,28,8.33,0,4,10,18.18,22.22,15.38,6.52,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002105,S01002105,39.47,42.42,30.3,10.34,0,0,3.45,3.23,19.23,23.53,31.25,5.56,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002106,S01002106,76.92,83.33,63.64,16.67,0,0,9.09,45.45,47.62,32.14,15.15,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002107,S01002107,54.55,50,14.29,0,0,0,12.5,33.33,40,27.27,9.09,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002108,S01002108,66.67,42.86,8.33,0,0,8.33,8.33,20,34.62,25.71,14.58,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002109,S01002109,47.37,40,25,16.67,0,0,8,18.18,26.09,16.67,6.67,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002110,S01002110,61.9,64.29,46.67,6.67,5.56,0,0,9.52,15.79,16.67,5,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002111,S01002111,46.43,48.48,28,16.67,5.26,4.17,3.13,3.57,15.38,19.05,17.39,4.55,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002112,S01002112,51.61,46.43,34.62,7.41,3.57,3.13,6.45,21.05,21.21,17.14,0,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002113,S01002113,41.18,38.89,20,6.67,7.69,0,0,5.56,14.29,22.22,8.33,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002114,S01002114,31.82,37.5,27.27,18.18,7.14,6.67,5.26,9.09,24,21.74,17.39,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002115,S01002115,60,51.72,21.43,7.89,2.56,2.94,6.45,21.88,28.95,23.68,11.9,5.56,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002116,S01002116,55.56,50,25.71,10,0,0,0,9.52,21.74,23.08,18.18,5,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002117,S01002117,60,71.43,50,16.67,0,0,0,22.22,46.67,30.43,22.73,4.76,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002118,S01002118,75,54.55,33.33,28.57,11.11,8.33,6.25,7.14,39.13,31.25,27.27,4.35,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002119,S01002119,56.25,62.5,35.29,11.76,11.11,10.53,8.7,0,0,6.67,6.67,7.14,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002120,S01002120,55.56,42.86,18.75,0,0,0,0,12.5,25,21.74,8,3.13,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002121,S01002121,72.73,50,33.33,0,0,5.26,5,14.29,23.81,22.73,13.64,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002122,S01002122,35.71,21.43,15.79,5.26,6.25,0,9.09,33.33,33.33,23.53,6.25,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002123,S01002123,41.67,38.1,25,15,7.69,0,6.06,10.26,20,18.52,15,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002124,S01002124,60,47.06,10,0,0,6.9,5.71,19.05,29.41,34.38,18.52,3.57,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002125,S01002125,68.75,58.33,34.29,10.53,0,7.69,9.3,15,19.35,25,13.04,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002126,S01002126,35.71,29.41,16.67,0,0,0,0,12.5,42.86,27.27,11.76,0,"","","","","",""
http://statistics.gov.scot/id/statistical-geography/S01002127,S01002127,47.83,39.13,12,0,0,0,3.57,6.9,25,37.5,33.33,0,"","","","","",""
