Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S16000106,Edinburgh Northern and Leith,5,3.94,3.71,2.27,1.17,3.86,6.35,5.43,7.59,15.15,24.59,29.38,27.58,25.93,24.4,24.67,24.41,23.34
http://statistics.gov.scot/id/statistical-geography/S16000107,Edinburgh Pentlands,3.21,2.74,2.51,2.47,2.48,3.76,3.82,3.65,5.43,11.72,19.03,22.42,21.7,20.36,18.63,17.88,16.4,16.51
http://statistics.gov.scot/id/statistical-geography/S16000108,Edinburgh Southern,3.52,2.63,2,1.27,0.62,2.69,3.48,3.05,5.05,12.09,19.69,25.16,23.34,20.1,16.34,15.22,15.93,14.48
http://statistics.gov.scot/id/statistical-geography/S16000109,Edinburgh Western,3.14,2.62,3.27,3.94,4.47,4.84,4.89,5.05,7.63,14.2,20.76,23.92,21.96,20.66,19.47,18.92,17.75,16.24
http://statistics.gov.scot/id/statistical-geography/S16000111,"Ettrick, Roxburgh and Berwickshire",3.93,5.79,6.98,7.66,6.63,6.04,6.46,7.53,8.51,9.98,11.97,13.23,11.75,11.31,12,13.99,12.19,11.39
http://statistics.gov.scot/id/statistical-geography/S16000112,Falkirk East,0.48,0.57,0.73,0.74,0.84,1.13,2.53,5.01,4.75,3.27,0.62,1.2,3.15,5.28,7,6.76,6.1,4.57
http://statistics.gov.scot/id/statistical-geography/S16000113,Falkirk West,1.07,1.07,1.25,1.28,1.05,0.77,1.78,4.42,4.4,3.25,0.54,1.02,3.05,4.96,6.25,5.83,5.39,4.54
http://statistics.gov.scot/id/statistical-geography/S16000114,Galloway and West Dumfries,7.48,8.07,7.75,7.45,7.28,8.66,9.57,10.27,10.06,9.84,10.8,10.83,11.33,10.87,11.99,12.65,14.76,13.88
http://statistics.gov.scot/id/statistical-geography/S16000115,Glasgow Anniesland,4.22,4.54,4.34,3.46,2.33,1.55,1.55,1.43,1.36,2.66,3.83,6.75,8.2,10.93,10.81,9.56,7.04,4.25
http://statistics.gov.scot/id/statistical-geography/S16000116,Glasgow Cathcart,8.69,8.15,8.71,9.3,8.38,6.88,5.72,6.66,7.4,7.68,6.46,7.81,9.71,12.92,12.49,10.83,8.13,6.18
http://statistics.gov.scot/id/statistical-geography/S16000117,Glasgow Kelvin,4.76,4.85,5.16,4.06,3.34,2.81,2.62,2.12,1.82,2.88,3.86,6.95,9.05,11.77,11.44,9.85,7.43,5.12
http://statistics.gov.scot/id/statistical-geography/S16000118,Glasgow Maryhill and Springburn,7.08,7.73,7.36,6.8,5.12,3.46,1.93,1.39,2.17,3.82,5.17,6.55,7.52,9.22,9.76,10.27,8.92,6.84
http://statistics.gov.scot/id/statistical-geography/S16000119,Glasgow Pollok,5.7,5.52,4.99,5.85,6.08,6.11,6.31,7.3,7,5.67,4.26,5.34,7.33,9.51,10.47,9.41,7.51,5.01
http://statistics.gov.scot/id/statistical-geography/S16000147,Glasgow Provan,12.3,11.86,11.53,11.01,9.28,6.83,3.24,1.63,3.45,5.36,7.79,7.82,9.13,9.36,9.49,8.89,8.9,7.43
http://statistics.gov.scot/id/statistical-geography/S16000121,Glasgow Shettleston,11.92,11.52,10.94,10.04,8.46,5.76,2.45,1.04,3.49,6.88,9.42,10.13,9.78,10.96,10.5,10.94,9.6,7.21
http://statistics.gov.scot/id/statistical-geography/S16000122,Glasgow Southside,6.66,5.71,5.84,5.65,5.61,5.27,5.02,5.03,4.67,4.9,4.54,5.44,6.38,7.26,7.51,6.5,5.73,3.62
