Reference,Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S13002722,Airdrie South,11,18,29,36,36,38,54,73,66,41,25,23,25,27,22,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003053,Airdrie South,"","","","","","","","","","","","","","","",20,13,16
http://statistics.gov.scot/id/statistical-geography/S13002486,Airyhall / Broomhill / Garthdee,11,13,13,14,7,4,5,7,5,3,7,9,9,3,2,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002845,Airyhall/Broomhill/Garthdee,"","","","","","","","","","","","","","","",4,4,3
http://statistics.gov.scot/id/statistical-geography/S13002583,Almond,189,172,75,21,11,14,26,45,124,110,91,11,11,5,3,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002919,Almond,"","","","","","","","","","","","","","","",6,4,5
http://statistics.gov.scot/id/statistical-geography/S13002746,Almond and Earn,9,3,3,14,30,45,48,34,17,3,6,10,25,20,17,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003071,Almond and Earn,"","","","","","","","","","","","","","","",1,7,8
http://statistics.gov.scot/id/statistical-geography/S13002608,An Taobh Siar agus Nis,4,4,6,7,8,20,28,28,17,5,5,3,2,9,10,12,5,4
http://statistics.gov.scot/id/statistical-geography/S13002650,Anderston / City,8,18,35,58,81,115,147,163,150,143,143,145,113,77,48,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002976,Anderston/City/Yorkhill,"","","","","","","","","","","","","","","",33,40,40
http://statistics.gov.scot/id/statistical-geography/S13002544,Annandale East and Eskdale,5,1,17,18,20,12,15,19,17,14,9,7,7,8,3,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002891,Annandale East and Eskdale ,"","","","","","","","","","","","","","","",3,0,4
http://statistics.gov.scot/id/statistical-geography/S13002543,Annandale North,2,5,21,22,22,25,31,36,28,21,17,11,13,10,7,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002890,Annandale North,"","","","","","","","","","","","","","","",2,2,1
http://statistics.gov.scot/id/statistical-geography/S13002542,Annandale South,6,3,28,32,35,23,24,23,18,13,15,9,9,6,4,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002889,Annandale South,"","","","","","","","","","","","","","","",3,2,5
http://statistics.gov.scot/id/statistical-geography/S13002553,Annick,1,1,2,3,2,2,4,8,11,16,17,14,6,1,0,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002892,Annick,"","","","","","","","","","","","","","","",2,4,6
http://statistics.gov.scot/id/statistical-geography/S13002514,Arbroath East and Lunan,11,7,10,25,69,125,139,97,37,7,6,5,9,10,8,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002873,Arbroath East and Lunan,"","","","","","","","","","","","","","","",3,3,13
http://statistics.gov.scot/id/statistical-geography/S13002513,Arbroath West and Letham,13,11,12,29,67,108,108,68,23,3,5,5,3,1,3,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002872,"Arbroath West, Letham and Friockheim","","","","","","","","","","","","","","","",2,12,27
http://statistics.gov.scot/id/statistical-geography/S13002708,Ardrossan and Arran,7,7,7,7,7,7,6,6,5,6,8,9,8,10,15,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003036,Ardrossan and Arran,"","","","","","","","","","","","","","","",10,6,0
http://statistics.gov.scot/id/statistical-geography/S13002828,Armadale and Blackridge,7,5,6,4,9,10,19,20,97,94,89,15,10,10,5,5,3,4
http://statistics.gov.scot/id/statistical-geography/S13002791,Avondale and Stonehouse,12,8,10,12,14,16,29,47,42,30,11,12,7,5,5,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003099,Avondale and Stonehouse,"","","","","","","","","","","","","","","",7,8,10
http://statistics.gov.scot/id/statistical-geography/S13002782,Ayr East,1,1,2,2,2,3,5,5,7,13,17,13,5,0,2,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003090,Ayr East,"","","","","","","","","","","","","","","",4,4,2
http://statistics.gov.scot/id/statistical-geography/S13002781,Ayr North,1,1,4,4,3,0,2,6,7,19,18,19,7,7,6,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003089,Ayr North,"","","","","","","","","","","","","","","",5,5,5
http://statistics.gov.scot/id/statistical-geography/S13002783,Ayr West,0,2,3,4,3,2,4,6,9,11,11,8,6,3,5,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003091,Ayr West,"","","","","","","","","","","","","","","",3,3,2
http://statistics.gov.scot/id/statistical-geography/S13002682,Badenoch and Strathspey,181,187,143,86,28,8,8,9,8,3,4,4,4,3,1,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003009,Badenoch and Strathspey,"","","","","","","","","","","","","","","",2,3,3
http://statistics.gov.scot/id/statistical-geography/S13002660,Baillieston,64,81,117,159,238,437,681,831,620,353,176,207,186,116,57,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002986,Baillieston,"","","","","","","","","","","","","","","",30,50,56
http://statistics.gov.scot/id/statistical-geography/S13002559,Ballochmyle,1,2,4,3,3,1,2,4,8,23,20,18,2,4,2,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002898,Ballochmyle,"","","","","","","","","","","","","","","",3,1,1
http://statistics.gov.scot/id/statistical-geography/S13002504,Banchory and Mid Deeside,6,6,16,34,42,34,18,10,11,11,11,9,5,4,3,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002863,Banchory and Mid Deeside,"","","","","","","","","","","","","","","",4,3,1
http://statistics.gov.scot/id/statistical-geography/S13002489,Banff and District,16,19,23,19,15,7,6,7,9,8,6,8,8,7,4,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002848,Banff and District,"","","","","","","","","","","","","","","",5,5,5
http://statistics.gov.scot/id/statistical-geography/S13002813,Bannockburn,3,1,3,8,11,11,13,37,34,27,1,1,3,3,4,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003121,Bannockburn,"","","","","","","","","","","","","","","",4,12,13
http://statistics.gov.scot/id/statistical-geography/S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas",4,7,9,10,9,17,28,31,25,16,18,16,15,15,22,22,19,19
http://statistics.gov.scot/id/statistical-geography/S13002578,Barrhead,6,5,8,7,6,3,4,12,14,15,7,7,11,13,15,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002914,"Barrhead, Liboside and Uplawmoor","","","","","","","","","","","","","","","",10,13,13
http://statistics.gov.scot/id/statistical-geography/S13002827,Bathgate,16,12,14,13,13,11,16,30,119,113,98,6,9,9,10,4,5,4
http://statistics.gov.scot/id/statistical-geography/S13002563,Bearsden North,6,6,15,17,24,21,24,28,37,37,34,22,18,11,10,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002902,Bearsden North,"","","","","","","","","","","","","","","",7,27,35
http://statistics.gov.scot/id/statistical-geography/S13002564,Bearsden South,2,4,6,10,14,17,18,17,26,28,29,17,18,16,19,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002903,Bearsden South,"","","","","","","","","","","","","","","",13,20,17
http://statistics.gov.scot/id/statistical-geography/S13002601,Beinn na Foghla agus Uibhist a Tuath,10,15,18,18,15,19,23,19,12,3,6,11,16,20,16,16,13,11
http://statistics.gov.scot/id/statistical-geography/S13002725,Bellshill,3,5,13,13,17,15,28,41,35,21,9,9,14,9,8,"","",""
http://statistics.gov.scot/id/statistical-geography/S13003056,Bellshill,"","","","","","","","","","","","","","","",6,8,10
http://statistics.gov.scot/id/statistical-geography/S13002904,Bishopbriggs North and Campsie,"","","","","","","","","","","","","","","",17,28,32
http://statistics.gov.scot/id/statistical-geography/S13002566,Bishopbriggs North and Torrance,18,19,28,45,64,108,166,202,152,87,46,50,44,27,16,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002833,Bishopbriggs South,27,19,41,56,90,131,221,258,197,103,52,60,58,43,27,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002905,Bishopbriggs South,"","","","","","","","","","","","","","","",15,21,29
http://statistics.gov.scot/id/statistical-geography/S13002759,"Bishopton, Bridge of Weir & Langbank",2,2,7,8,8,4,8,9,7,6,5,6,3,4,9,"","",""
