Reference, Area, 1999/00-2001/02,2000/01-2002/03,2001/02-2003/04,2002/03-2004/05,2003/04-2005/06,2004/05-2006/07,2005/06-2007/08,2006/07-2008/09,2007/08-2009/10,2008/09-2010/11,2009/10-2011/12,2010/11-2012/13,2011/12-2013/14,2012/13-2014/15,2013/14-2015/16,2014/15-2016/17,2015/16-2017/18,2016/17-2018/19
http://statistics.gov.scot/id/statistical-geography/S16000129,Mid Fife and Glenrothes,21.67,20.98,20.31,19.76,20.3,18.51,18.63,17.17,18.72,17.52,18.1,16.52,16.28,13.83,12.26,11.75,11.67,13.05
http://statistics.gov.scot/id/statistical-geography/S16000130,Midlothian North and Musselburgh,15.41,15.48,15.36,14.43,14.42,14.94,14.66,14.91,13.33,14.03,13.82,14.98,13.8,13.16,11.71,9.38,6.78,5.46
http://statistics.gov.scot/id/statistical-geography/S16000131,"Midlothian South, Tweeddale and Lauderdale",13.69,13.91,13.46,12.67,12.26,11.64,12.11,12.08,11.99,11.67,10.83,10.74,9.18,8.62,8.73,8.2,7.6,5.43
http://statistics.gov.scot/id/statistical-geography/S16000132,Moray,12.88,14.94,14.27,15.19,14.12,14.34,13.65,12.77,13.52,14.35,14.02,12.09,10.59,10.1,9.3,8.29,7.46,6.51
http://statistics.gov.scot/id/statistical-geography/S16000133,Motherwell and Wishaw,20.14,19.65,18.86,18.32,18.08,18.14,17.49,15.8,14.52,13.55,13.61,13.15,11.85,11.35,10.11,10.82,9.71,9.95
http://statistics.gov.scot/id/statistical-geography/S16000110,Na h-Eileanan an Iar,11.7,10.82,9.57,9.81,10.42,12.36,11.78,14.2,12.95,14.89,11.74,13.01,10.59,9.12,8.36,8.22,7.69,5.34
http://statistics.gov.scot/id/statistical-geography/S16000134,North East Fife,11.76,10.74,9.47,7.68,7.42,8.32,8.69,10.26,9.79,10.87,9.3,8.46,7.84,9.14,8.77,7.62,5.89,5.41
http://statistics.gov.scot/id/statistical-geography/S16000135,Orkney Islands,10.11,14.53,14.44,17.45,12.16,10.26,10.17,9.09,10.59,8.02,9.2,7.78,7.48,6.2,5.31,4.86,3.85,2.76
http://statistics.gov.scot/id/statistical-geography/S16000136,Paisley,18.72,19.62,17.96,17.64,17.45,15.73,15.08,13.42,13.98,13.67,13.15,11.4,9.56,8.09,7.89,7.24,6.98,6.23
http://statistics.gov.scot/id/statistical-geography/S16000137,Perthshire North,16.41,12.53,10.8,9.89,9.78,9.66,9.86,11.33,11.67,11.54,10.82,10.32,10.13,7.95,7.07,5.1,5.66,4.43
http://statistics.gov.scot/id/statistical-geography/S16000138,Perthshire South and Kinross-shire,11.38,11.62,11.65,11.93,13.24,14.29,12.25,11.79,11.6,12.22,10.37,10.38,9.49,9.46,7.87,6.73,5.27,4.6
http://statistics.gov.scot/id/statistical-geography/S16000139,Renfrewshire North and West,11.14,11.93,10.3,10.41,9.97,11.1,11.89,11.96,11.4,10.04,8.49,7.85,7.93,6.95,6.2,4.11,3.47,2.55
http://statistics.gov.scot/id/statistical-geography/S16000140,Renfrewshire South,20.42,19.33,17.82,18.78,17.69,17.92,16.95,17.25,15.68,14.86,14,13.73,12.48,9.83,8.66,8.36,7.44,6.3
http://statistics.gov.scot/id/statistical-geography/S16000141,Rutherglen,17.22,15.46,14.6,14.16,13.32,12.24,12.03,12.06,11.69,11.13,10.44,9.71,9.38,8.55,8.35,7.61,7.23,6.98
http://statistics.gov.scot/id/statistical-geography/S16000142,Shetland Islands,13.06,13.43,11.15,9.25,10.17,11.5,11.5,8.73,6.39,5.79,6.17,5.5,5.34,4.2,5.62,5.5,5.04,2.78
http://statistics.gov.scot/id/statistical-geography/S16000143,"Skye, Lochaber and Badenoch",14.89,13.71,14.47,13.41,12.49,11.02,10.3,11.04,12.06,12.47,11.9,11.74,10.51,9.29,6.92,5.84,6.55,6.92
http://statistics.gov.scot/id/statistical-geography/S16000144,Stirling,14.15,14.49,13.11,12.96,13.47,12.55,12.42,10.2,10.63,11.55,11.53,11.19,9.96,9.41,8.77,7.18,5.69,5.03
http://statistics.gov.scot/id/statistical-geography/S16000148,Strathkelvin and Bearsden,11.35,11.41,9.94,10.91,10.23,10.84,9.5,10.09,10.87,10.75,9.61,8.42,7.16,5.43,3.78,4.13,3.75,3.44
http://statistics.gov.scot/id/statistical-geography/S16000146,Uddingston and Bellshill,18.96,19.49,19.3,18.25,17.17,17.04,15.71,15.73,15.33,14.62,13.37,13.05,12.18,10.64,8.63,8.51,8.56,8.86
http://statistics.gov.scot/id/statistical-geography/S08000015,Ayrshire and Arran,20.13,19.86,18.95,18.84,18.28,19.1,19.05,18.46,17.9,17.59,16.71,15.21,13.29,11.93,11.36,10.61,10.15,9.43
http://statistics.gov.scot/id/statistical-geography/S08000016,Borders,13.27,13.12,13.12,13.05,13.86,13.17,13.46,12.5,12.81,11.86,12.34,11.65,10.68,8.93,8.16,8.42,7.23,6.45
http://statistics.gov.scot/id/statistical-geography/S08000017,Dumfries and Galloway,21.15,19.75,18.22,16.84,18.01,18.19,18.15,18.02,17.24,16.75,14.08,13.9,12.9,13.46,11.47,11.39,9.64,8.49
http://statistics.gov.scot/id/statistical-geography/S08000029,Fife,18.38,18.07,16.91,16.29,15.24,14.65,14.72,15.14,15.99,15.85,15.42,14.15,13.18,12.15,11.6,10.96,10.39,10.04
http://statistics.gov.scot/id/statistical-geography/S08000019,Forth Valley,15.51,15.41,14.95,14.47,13.89,13.57,13.8,13.9,13.85,13.59,12.14,11.79,10.72,10.36,8.95,7.99,6.69,6.08
http://statistics.gov.scot/id/statistical-geography/S08000020,Grampian,11.73,12.12,11.79,11.86,11.19,11.03,10.74,10.12,9.64,8.99,8.91,8.39,8,6.9,5.95,5.27,5.21,4.75
http://statistics.gov.scot/id/statistical-geography/S08000031,Greater Glasgow and Clyde,17.92,17.85,16.79,16.81,16.53,16,14.93,14.07,13.14,12.56,11.17,10.3,9.02,8.2,7.35,6.67,6.06,5.65
http://statistics.gov.scot/id/statistical-geography/S08000022,Highland,16.81,16.14,16.11,15.24,14.87,14.5,14.57,14.17,14.17,13.83,13.68,13.08,12.34,10.77,9.2,8.04,7.6,7.71
http://statistics.gov.scot/id/statistical-geography/S08000032,Lanarkshire,16.24,16.16,16.08,15.7,15.1,14.79,14.6,14.49,13.83,12.75,11.82,11.37,10.91,10.31,9.33,8.85,8.07,7.68
http://statistics.gov.scot/id/statistical-geography/S08000024,Lothian,14.09,13.41,12.95,12.35,12.24,11.83,11.42,10.48,9.02,8.22,7.7,8.32,8.19,7.57,7.03,5.98,5.61,4.85
http://statistics.gov.scot/id/statistical-geography/S08000025,Orkney,10.11,14.53,14.44,17.45,12.16,10.26,10.17,9.09,10.59,8.02,9.2,7.78,7.48,6.2,5.31,4.86,3.85,2.76
http://statistics.gov.scot/id/statistical-geography/S08000026,Shetland,13.06,13.43,11.15,9.25,10.17,11.5,11.5,8.73,6.39,5.79,6.17,5.5,5.34,4.2,5.62,5.5,5.04,2.78
http://statistics.gov.scot/id/statistical-geography/S08000030,Tayside,19.34,18.29,17.76,16.12,14.64,13.73,13.55,14.74,15.07,15.17,13.58,12.79,11.75,10.91,9.6,8.99,8.83,8.63
http://statistics.gov.scot/id/statistical-geography/S08000028,Western Isles,11.7,10.82,9.57,9.81,10.42,12.36,11.78,14.2,12.95,14.89,11.74,13.01,10.59,9.12,8.36,8.22,7.69,5.34
http://statistics.gov.scot/id/statistical-geography/S13002537,Abbey,18.45,16.22,13.13,12.82,13.6,14.49,13.85,12.4,13.27,13.89,12.82,8.7,6.14,7.92,7,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002884,Abbey,"","","","","","","","","","","","","","","",8.7,9.3,10.53
http://statistics.gov.scot/id/statistical-geography/S13002503,"Aboyne, Upper Deeside and Donside",7.38,8.33,4.85,5.1,3.74,5.79,6.35,8.47,9.09,7.96,5.22,5.83,4.35,2.94,0.93,"","",""
http://statistics.gov.scot/id/statistical-geography/S13002862,"Aboyne, Upper Deeside and Donside","","","","","","","","","","","","","","","",2.06,2.35,0.00
